ID,Natuknica,Stranica,str. priloga,naziv pdf-a,Svezak,Tekst
1587,"JADRIJEVIĆ, Ante",373,,,1,
1588,JADRTOVAC,373,,,1,
1589,"JAGIĆ, Vatroslav",373,,,1,
1590,JAJCE,373-374,,373-374.pdf,1,
1591,"JAKELIĆ, Petar",374,,,1,
1592,"JAKELIĆ, Vlado",374,,,1,
1593,"JAKIĆ, Ante",375,,,1,
1594,"JAKIĆ, Ivan (Antun)",375,,,1,
1595,"JAKOPČIĆ, Josip",375,,,1,
1596,JAKOV DE SPINIS IZ ORLÉANSA,375,,,1,
1597,"JAKŠIĆ, Nikola",375,,,1,
1598,"JAKŠIĆ, Pero",375,376,375-376.pdf,1,
1599,"JAKUŠ, Zlatko",375,,,1,
1600,JAKUŠEVEC,375-376,,375-376.pdf,1,
1601,JALKOVEC,376,,,1,
1602,JALŽABET,376,,,1,
1603,"JAMBRIŠAK, Janko",376,,,1,
1604,JAMI NA SREDI,376,,,1,
1605,"JAMNICKI, Velimir",376,,,1,
1606,"JANČIĆ, Drago",376,,,1,
1607,"JANČIĆ, Jakov",376,,,1,
1608,"JANČIĆ, Stanko",376-377,,376-377.pdf,1,
1609,"JANDA, Jozo",377,,,1,
1610,"JANEŠ, Želimir",377,,,1,
1611,JANKOVCI,377,,,1,
1612,JANUŠEVEC,377-378,,377-378-pdf,1,
1613,JANJEVO,378,,,1,
1614,"JANJIĆ, Ratko — Jobo",378,,,1,
1615,JANJINA,378,,,1,
1616,JAPODI,378-379,,378-379.pdf,1,
1617,JAPODSKE URNE,379,,,1,
1618,"JARAK, Vjekoslav Božo",379,,,1,
1619,"JASCHKE, Franz",379,,,1,
1620,JASENOVAC,380,,,1,
1621,JASLICE (betlehem),380,,,1,
1622,JASTREBARSKO,380,,,1,
1623,"JASZI (Jassy), Juraj",380,,,1,
1624,"JAŠIĆ, Ivo",380,,,1,
1625,"JEAN-IVANOVIĆ, Robert",380,,,1,
1626,"JELAVIĆ, Dalibor",380-381,,380-381.pdf,1,
1627,JELENGRAD,381,,,1,
1628,"JELENIĆ, Julijan",381,,,1,
1629,"JELIČIĆ-RADONIĆ, Jasna",381,,,1,
1630,"JELIĆ, Luka",381,,,1,
1631,"JELIĆ, Vladimir",381,,,1,
1632,"JELINEK, Slavko",381-382,,381-382.pdf,1,
1633,"JELOVINA, Dušan",382,,,1,
1634,"JELOVŠEK (Ilovšek), Kristof Andrija",382,,,1,
1635,JELSA,382,,,1,
1636,"JENY, Guido",382,,,1,
1637,"JERIČEVIĆ, Dinka",382,,,1,
1638,"JERMAN, Željko",382,,,1,
1639,JEROLIM MATOV,382,,,1,
1640,JESENICA,382,,,1,
1641,JESENICE,382,,,1,
1642,JESENOVIK,383,,,1,
1643,"JEVŠOVAR, Marijan",383,,,1,
1644,JEZUITI,383,,,1,
1645,"JIROUŠEK, Antun",383-384,,383-384.pdf,1,
1646,"JIROUŠEK, Željko",384,,,1,
1647,"JOB, Cvijeta",384-385,,,1,
1648,"JOB, Ignjat",385,384,384-385.pdf,1,
1649,JOHANNES ALBINUS (Ivan Albini),385,,,1,
1650,JOHANNES ANTONII DE VIENNA,385,,,1,
1651,JOHI,385,,,1,
1652,"JOKANOVIĆ-TOUMIN, Dean",385,,,1,
1653,JO KLEK,385,,,1,
1654,"JORDAN, Albert",385,,,1,
1655,"JORDAN, Vasilije",385-386,,385-386.pdf,1,
1656,"JORDANIĆ, Petar (presbiter Petrus Jordanicus)",386,,,1,
1657,JOSIP,386,,,1,
1658,"JOŠIĆ, Mladen",386,,,1,
1659,"JOVANOVIĆ, Stanoje",386,,,1,
1660,JOVIĆI,386,,,1,
1661,"JOZIĆ, Stjepan",386-387,,386-387.pdf,1,
1662,"JUČEN, Jakov",387,,,1,
1663,"JUGOVIĆ, Ivo",387,,,1,
1664,"JUHN, Hinko",387,,,1,
1665,"JUKIĆ, Ivan Frano",387,,,1,
1666,"JUNČIĆ, Matej",387,,,1,
1667,"JUNČIĆ, Radašin",387,,,1,
1668,"JUNEK, Leo",387-388,,387-388.pdf,1,
1669,"JUNG, Izidor",388,,,1,
1670,"JURAČIĆ, Dražen",388-389,,388-389.pdf,1,
1671,JURAJ,389,,,1,
1672,JURAJ ALEGRETOV,389,,,1,
1673,JURAJ DIMITROV,389,,,1,
1674,JURAJ MATIJEV DALMATINAC,389-392,,389-392.pdf,1,
1675,JURAJ MIHAJLOV,392,,,1,
1676,"JURAK, Drago",392,,,1,
1677,JURANDVOR,392-393,,392-393.pdf,1,
1678,"JURIĆ, Franjo",393,,,1,
1679,"JURIĆ, Vinko",393,,,1,
1680,"JURIĆ, Zlatko",393,,,1,
1681,"JURINJAK, Slavko",393,,,1,
1682,"JURIŠIĆ, Karlo",393,,,1,
1683,"JURIŠIĆ, Krunoslav",393,,,1,
1684,"JURIŠIĆ-SCHNEIDER, Greta",393,,,1,
1685,"JURJEVIĆ, Toma",393,,,1,
1686,JURJEVO,393,,,1,
1687,"JURKIĆ, Gabrijel",395-396,394,394-396.pdf,1,
1688,"JURKIĆ-GIRARDI, Vesna",396,,,1,
1689,"JURKOVIĆ, Mato",396,,,1,
1690,"JURKOVIĆ, Miljenko",396,,,1,
1691,"JURKOVIĆ, Minka",396,,,1,
1692,"JURMAN-KARAMAN, Draginja",396,,,1,
1693,"JUŠIĆ, Pavao",396,,,1,
1694,"JUTRONIĆ, Andre",396,,,1,
1695,"KAER, Petar",397,,,1,
1696,"KÄHLER, Heinz",397,,,1,
1697,KAIROS,397,,,1,
1698,"KALAJZIĆ, Marin",397,,,1,
1699,"KALAJŽIĆ, Branko",397,,,1,
1700,"KALDA, Lav",397-398,,397-398.pdf,1,
1701,KALEŽ,398,,,1,
1702,KALIGRAFIJA,398,,,1,
1703,"KALINA, Ivo",398,,,1,
1704,"KALITERNA, Fabijan",399,,,1,
1705,KALNIK,399,,,1,
1706,"KALOGJERA, Berislav",399,,,1,
1707,"KAMBER, Sergije",399,,,1,
1708,"KAMENAR, Zvonimir",399,,,1,
1709,KAMENGRAD,399-400,,399-400.pdf,1,
1710,KAMENSKO,400,,,1,
1711,KAMEŠNICA,400,,,1,
1712,KAMPOR,400,,,1,
1713,KAMPORSKI PSALTIR (Psalterium minus),400,,,1,
1714,KANATNA KONSTRUKCIJA (bondruk),400-401,,400-401.pdf,1,
1715,"KANDLER, Pietro",401,,,1,
1716,KANFANAR,401,,,1,
1717,KANIŠKA IVA,401,,,1,
1718,"KANIŽAJ, Pajo",401,,,1,
1719,"KANTOCI, Ksenija",401,,,1,
1720,KAPITOLIJ,401-402,,401-402.pdf,1,
1721,KAPITUL (kapitulska dvorana),402,,,1,
1722,KAPITUL,402,,,1,
1723,KAPLJUČ,402,,,1,
1724,"KAPOR, Ambroz",402,,,1,
1725,"KAPOR, Ivan i Matija",402,,,1,
1726,"KAPPNER, Franjo",402,,,1,
1727,"KAPS, Ernest",402,,,1,
1728,KAPTOL,402-403,,402-403.pdf,1,
1729,"KARA, Ljudevit",403,,,1,
1730,"KARAČIĆ, Blago",403,,,1,
1731,"KARAMAN, Antun",403,,,1,
1732,"KARAMAN, Ljubo",403,,,1,
1733,"KARARA, Frano",403,,,1,
1734,"KARAS, Vjekoslav",403-404,405,403-405.pdf,1,
1735,KARIKATURA,"404, 406",407-409,"404, 406-409.pdf",1,
1736,KARIN,406,,,1,
1737,"KARINA, Ljubomir",406,,,1,
1738,"KARLAVARIS, Milica",406,,,1,
1739,KARLIĆ,406,,,1,
1740,KARLOBAG,410,,,1,
1741,KARLOVAC,410-411,,410-411.pdf,1,
1742,"KÀROLYI, Aleksandar",411,,,1,
1743,KARPINJAN,411,,,1,
1744,KARTOGRAFIJA,411-416,,411-416.pdf,1,
1745,"KÄSSMANN (KÄHSSMAN, KÄSZMAN), Josip",416,,,1,
1746,"KASSOWITZ-CVIJIĆ, Antonija",416,,,1,
1747,KASTAV,416,,,1,
1748,"KASUMOVIĆ, Oleg",416,,,1,
1749,KAŠIĆ,416,,,1,
1750,KAŠINA,416,,,1,
1751,"KAŠPAR-STRANIĆ, Lidija",416,,,1,
1752,KAŠTELA,416-417,,416-417.pdf,1,
1753,"KAŠTELANČIĆ, Ante",417,,,1,
1754,"KATANČIĆ, Matija Petar",417-418,,417-418.pdf,1,
1755,KATEDRA,418,,,1,
1756,"KATIČIĆ, Ilija",418,,,1,
1757,"KATIĆ, Krešimir",418,,,1,
1758,"KATIĆ, Lovre",418,,,1,
1759,"KATUNARIĆ, Ante",418,,,1,
1760,"KATUNARIĆ, Boris",418,,,1,
1761,"KATUŠIĆ, Petar",418,,,1,
1762,"KAURIĆ, Anđelko",418,,,1,
1763,"KAUTZ, Claudius",418,,,1,
1764,"KAUZLARIĆ, Mladen",419,418,418-419.pdf,1,
1765,"KAUZLARIĆ, Tomislav",419,,,1,
1766,"KAUZLARIĆ, Veljko",419,,,1,
1767,"KAUZLARIĆ-ATAČ, Zlatko",419-420,,419-420.pdf,1,
1768,"KAVANJIN, Jerolim",420,,,1,
1769,"KAVURIĆ, Vanja",420,,,1,
1770,"KAVURIĆ-KURTOVIĆ, Nives",420-421,,420-421.pdf,1,
1771,"KECKHEISEN, Leopold",421,,,1,
1772,"KEČANIN, Nikola",421,,,1,
1773,"KEČEK, Zvonimir",421,,,1,
1774,"KEČKEMET, Duško",421,,,1,
1775,"KELEMEN, Boris",421,,,1,
1776,"KELLER, Alfred",421,,,1,
1777,"KELLER, Antun",421,,,1,
1778,"KEMPF, Julije",421,,,1,
1779,"KERAKOVIĆ, Marin",421,,,1,
1780,KERAMIKA,421-425,,421-425.pdf,1,
1781,"KERDIĆ, Ivo",425,,,1,
1782,KERESTINEC,425,,,1,
1783,"KERN, Krunoslav",425,,,1,
1784,"KERN, Marko",425-426,,425-426.pdf,1,
1785,"KERN, Rudolf",426,,,1,
1786,"KERŠEVANI, Gašpar",426,,,1,
1787,"KESER, Zlatko",426,,,1,
1788,"KEZIĆ, Jurica",426,,,1,
1789,"KIČIN, Milan",426,,,1,
1790,"KIČIN, Stjepan",426,,,1,
1791,KIJEVO,427,,,1,
1792,"KIKEREC, Ferdo",427,,,1,
1793,"KINCL, Branko",427,,,1,
1794,"KINERT, Albert",427,,,1,
1795,"KIPKE, Željko",427-428,,427-428.pdf,1,
1796,"KIRIN, Josip",428,,,1,
1797,"KIRIN, Vladimir",428,,,1,
1798,"KIRINČIĆ, Anton",428,,,1,
1799,KIRINGRAD,428,,,1,
1800,"KISS, György",428,,,1,
1801,KISTANJE,428,,,1,
1802,"KIŠ, Dragutin",428,,,1,
1803,"KIVEROV, Đorđe",428-429,,428-429.pdf,1,
1804,"KLAIĆ, Nada",429,,,1,
1805,"KLAIĆ, Smiljan",429,,,1,
1806,"KLAIĆ, Šimo",429,,,1,
1807,KLANJEC,429,,,1,
1808,"KLAPČIĆ, Radan",429,,,1,
1809,"KLARICA, Josip",429,,,1,
1810,"KLARIĆ, Mate",429,,,1,
1811,KLASICIZAM,429-432,,429-432.pdf,1,
1812,"KLAUDUS, Rudolf",432,,,1,
1813,KLAUSTAR,432-433,,432-433.pdf,1,
1814,"KLEIN, Franjo",433,432,432-433.pdf,1,
1815,KLENOVNIK,433,,,1,
1816,KLIMNO,433,,,1,
1817,KLINAC GRAD,433,,,1,
1818,KLIS,433-434,,433-434.pdf,1,
1819,"KLISKA, Stanko",434,,,1,
1820,"KLOBUČAR, Olga",434,,,1,
1821,"KLOBUČARIĆ, Ivan",434,,,1,
1822,KLOKOČ,434,,,1,
1823,"KLOPOTAN, Franjo",434-435,,434-435.pdf,1,
1824,KLOŠTAR,435,,,1,
1825,KLOŠTAR IVANIĆ,435,,,1,
1826,KLOŠTAR PODRAVSKI,435,,,1,
1827,"KLOVIĆ, Julije",435-437,,435-437.pdf,1,
1828,KLUB LIKOVNIH UMJETNICA,437,,,1,
1829,KLJACI,437,,,1,
1830,"KLJAKOVIĆ, Joza",437,438,437-438.pdf,1,
1831,"KLJAKOVIĆ, Živko",437,,,1,
1832,KLJUČ,437,,,1,
1833,KNEGINEC,438,,,1,
1834,KNEŽEV DVOR,438,,,1,
1835,"KNEŽEVIĆ, Grozdan",438-439,,438-439.pdf,1,
1836,"KNEŽEVIĆ, Joko (Ivan)",439,,,1,
1837,"KNEŽEVIĆ, Mika",439,,,1,
1838,"KNEŽEVIĆ, Snješka",439,,,1,
1839,KNEŽEVI VINOGRADI,439,,,1,
1840,"KNEŽIĆ, Josip Kajetan",439,,,1,
1841,"KNIEWALD, Dragutin",439,,,1,
1842,"KNIFER, Julije",439-440,,439-440.pdf,1,
1843,KNIN,440,,,1,
1844,"KNOLL, Petar",440,,,1,
1845,KNJIGOVEŠTVO,440-441,,440-441.pdf,1,
1846,KOBAŠ,441,,,1,
1847,"KOCH, Vjekoslav",441,,,1,
1848,"KOCKOVIĆ, Marijan",441,,,1,
1849,"KOCMUT, Božidar",441,,,1,
1850,KOČUR,441,,,1,
1851,KODEKS BISKUPA JOSIPA KOSIRIĆA,443,,,1,
1852,KODEKS OBITELJI PATAČIĆ (Status familiae Patachich),443,,,1,
1853,"KODL, Josip",443,,,1,
1854,"KOKOLJA, Tripo",443,442,442-443.pdf,1,
1855,"KOKOT, Eugen",443-444,,443-444.pdf,1,
1856,"KOKOTOVIĆ, Dušan",444,,,1,
1857,"KOKŠA, Đuro",444,,,1,
1858,"KOLACIO, Zdenko",444,,,1,
1859,KOLAN,444,,,1,
1860,"KOLAR, Boris",444,445,444-445.pdf,1,
1861,"KOLAR, Gabriela",444,,,1,
1862,KOLAŽ,444,,,1,
1863,"KOLBAH, Ivan",445,,,1,
1864,"KOLENDIĆ, Petar",445,,,1,
1865,"KOLLENZ, Miroslav",445,,,1,
1866,KOLOČEP,445,,,1,
1867,KOLOĐVAR,445,,,1,
1868,KOLO HRVATSKIH UMJETNIKA,445,,,1,
1869,"KOLOMBAR, Tomislav",445,,,1,
1870,"KOLOMBO, Franjo",445,,,1,
1871,"KOLUDROVIĆ, Perikle",445,,,1,
1872,"KOLUNIĆ-ROTA, Martin (Martinus Rota Sibenicensis)",445-447,,445-447.pdf,1,
1873,KOLJANE,447-448,,447-448.pdf,1,
1874,KOM,448,,,1,
1875,"KOMAN, Mitja",448,,,1,
1876,"KOMERSTEINER, Ivan",448,449,448-449.pdf,1,
1877,KOMIN,448,,,1,
1878,KOMIŽA,"448, 450",,"448, 450.pdf",1,
1879,KOMOGOVINA,450,,,1,
1880,KOMOLAC,450,,,1,
1881,KOMPOLJE,450,,,1,
1882,KONAVLI,450,,,1,
1883,KONCEPTUALNA UMJETNOST,450-452,,450-452.pdf,1,
1884,"KONKRETNA POEZIJA (vizualna poezija, typoezija)",452,,,1,
1885,"KONRADT, Josip Vilim",452,,,1,
1886,KONZERVATORSTVO,452,,,1,
1887,KONJŠČINA,452-453,,452-453.pdf,1,
1888,"KOPAČ, Slavko",453,,,1,
1889,KOPAČINA,453,,,1,
1890,"KOPIĆ, Božidar",453,,,1,
1891,"KOPRIČANEC, Martin",453,,,1,
1892,KOPRIVE,453,,,1,
1893,KOPRIVNA,453,,,1,
1894,KOPRIVNICA,453-454,,453-454.pdf,1,
1895,KOPRIVNIČKI IVANEC,454,,,1,
1896,KORČULA,454-456,,454-456.pdf,1,
1897,"KORDEJ, Igor",456,,,1,
1898,"KOREN, Franjo",456,,,1,
1899,KORENOVSKA KULTURA,456,,,1,
1900,"KORKA, Jovan",457,,,1,
1901,KORNATI,457,,,1,
1902,KORSKE KLUPE,457-458,,457-458.pdf,1,
1903,"KOSEC-BOUREK, Dijana",458,,,1,
1904,KOSINJ,458,,,1,
1905,KOSINJSKI BAKOVAC,458,,,1,
1906,"KOSOR, Josip",458,,,1,
1907,KOSTAJNICA,458,,,1,
1908,KOSTEL,458,,,1,
1909,"KOSTEL (Pietra pelosa, Wollenstein)",458,,,1,
1910,"KOSTELAC, Ante Josip",458,,,1,
1911,"KOSTINČER-BREGOVAC, Inge",458,,,1,
1912,KOSTOLAČKA KULTURA,458,,,1,
1913,"KOSTOVIĆ, Ante",458,,,1,
1914,"KOŠČEVIĆ, Želimir",458-459,,458-459.pdf,1,
1915,KOŠKA,459,,,1,
1916,"KOŠKOVIĆ, Marija Branka",459,,,1,
1917,KOŠLJUN,459,,,1,
1918,KOTARI,459,,,1,
1919,"KOTLAR, Mario",459,,,1,
1920,KOTOR,459-461,,459-461.pdf,1,
1921,KOTOR,461,,,1,
1922,"KOTORANIN, Trifun",461,,,1,
1923,KOTORIBA,461-462,,461-462.pdf,1,
1924,"KOTROMANIĆ-ANJOU, Elizabeta",462,,,1,
1925,"KOVAČ, Ana",462,,,1,
1926,"KOVAČ, Lucija",462,,,1,
1927,"KOVAČEVIĆ, Branko",462,,,1,
1928,"KOVAČEVIĆ, Dora",462-463,,462-463.pdf,1,
1929,"KOVAČEVIĆ, Edo",463,,,1,
1930,"KOVAČEVIĆ, Ferdo",463-464,,463-464.pdf,1,
1931,"KOVAČEVIĆ, Milovan",464,,,1,
1932,"KOVAČEVIĆ, Neven",464,,,1,
1933,"KOVAČEVIĆ, Nikola",464,,,1,
1934,"KOVAČEVIĆ-MIJATOVIĆ, Bosiljka",464,,,1,
1935,"KOVAČEVIĆ-OVČAČIK, Mira",464,,,1,
1936,"KOVAČIĆ, Dinko",464-465,,464-465.pdf,1,
1937,"KOVAČIĆ, Josip",465,,,1,
1938,"KOVAČIĆ, Josip",465,,,1,
1939,"KOVAČIĆ, Kuzma",465,,,1,
1940,"KOVAČIĆ, Marin",465,,,1,
1941,"KOVAČIĆ, Mijo",465-466,,465-466.pdf,1,
1942,"KOVAČIĆ, Viktor",466-468,,466-468.pdf,1,
1943,"KOVAČIĆ, Željko",468,,,1,
1944,"KOVAČIĆ-TAJČEVIĆ, Sonja",468,,,1,
1945,"KOYDL, Nikola",468,,,1,
1946,"KOZJAK, Ivan",468-469,,468-469.pdf,1,
1947,"KOZLOVIĆ, Jasna",469,,,1,
1948,"KOŽARIĆ, Ivan",469,,,1,
1949,"KOŽARIĆ, Tomislav",469,,,1,
1950,"KOŽIČIĆ (Begna), Šimun",470,,,1,
1951,KOŽLJAK,470,,,1,
1952,"KRAFT, Hermagoras",470,,,1,
1953,"KRALJETA, Gašpar",470,,,1,
1954,KRALJEVA SUTJESKA,470,,,1,
1955,KRALJEVICA,470,,,1,
1956,"KRALJEVIĆ, Miroslav",470-473,,470-473.pdf,1,
1957,"KRALJEVIĆ-DONASSY, Mira",473,,,1,
1958,"KRALJ-MEĐIMUREC, Ladislav",473,,,1,
1959,"KRANJC, Mihajlo",473,,,1,
1960,KRAPANJ,473,,,1,
1961,"KRAPEK, Hinko",473,,,1,
1962,KRAPINA,473-474,,473-474.pdf,1,
1963,"KRASIĆ, Vladimir",474,,,1,
1964,"KRASNIK, Antonija",474,,,1,
1965,KRASNO POLJE,474,,,1,
1966,KRAŠIĆ,474,,,1,
1967,"KRAUS, Oton",474,,,1,
1968,"KRAUS, Živa",474,,,1,
1969,"KRČIN GRAD (Pliš grad, Gradin)",474-475,,474-475.pdf,1,
1970,"KREĆA, Đorđe",475,,,1,
1971,"KREKIĆ, Đorđe",475,,,1,
1972,"KREKOVIĆ, Kristian",475,,,1,
1973,"KREN, Milan",475,,,1,
1974,KREŠEVO,476,,,1,
1975,"KREŠIĆ, Mirna",476,,,1,
1976,KRETSKO-VENECIJANSKA ŠKOLA,476,,,1,
1977,"KREZICH KITTELSON, Vesna",476,,,1,
1978,"KRIEHUBER, Josef",476,,,1,
1979,KRIPTA,477,,,1,
1980,"KRISTIJANOVIĆ, Branka",477,,,1,
1981,"KRISTL, Vladimir",477,,,1,
1982,"KRITOVAC, Fedor",477,,,1,
1983,"KRIZMAN, Srđan (Serge)",477-478,,477-478.pdf,1,
1984,"KRIZMAN, Tomislav",478,,,1,
1985,"KRIZMANIĆ, Anka",478,,,1,
1986,KRIŽ,478-480,,478-480.pdf,1,
1987,KRIŽ,480,,,1,
1988,"KRIŽANIĆ, Pjer (Petar)",480,,,1,
1989,KRIŽANIĆ TURANJ,480,,,1,
1990,KRIŽEVCI,480-481,,480-481.pdf,1,
1991,"KRIŽIĆ, Nada",481,,,1,
1992,KRIŽNI PUT,481-482,,481-482.pdf,1,
1993,KRIŽOVLJAN RADOVEČKI,482,,,1,
1994,KRK,482-483,,482-483.pdf,1,
1995,KRKA,483,,,1,
1996,KRKANEC,483,,,1,
1997,"KRKLEC, Gustav",483,,,1,
1998,"KRLEŽA, Miroslav",483,,,1,
1999,"KRNJOUL, Ivo",483,,,1,
2000,"KRSTIĆ-LUKAČ, Maja",483,,,1,
2001,KRSTINJA,483,,,1,
2002,KRSTIONICA (baptisterij),483-484,,483-484.pdf,1,
2003,"KRSTULOVIĆ, Andrija",484,,,1,
2004,"KRSTULOVIĆ, Boris",484,,,1,
2005,"KRSTULOVIĆ, Maksim",484,,,1,
2006,KRŠAN,484,,,1,
2007,KRŠETE,485,,,1,
2008,"KRŠINIĆ, Frano",485-486,,485-486.pdf,1,
2009,"KRŠNJAVI, Izidor",486-488,,486-488.pdf,1,
2010,"KRUHEK, Milan",488,,,1,
2011,KRUPA,488,,,1,
2012,"KRUPA, Alfred",488,,,1,
2013,KRUPAČE,488,,,1,
2014,"KRUPIĆ, Petar",488,,,1,
2015,"KRUŠLIN, Mihovil",488,,,1,
2016,"KRUŽIĆ-UCHYTIL, Vera",488,,,1,
2017,"KRZNARIĆ, Zvonimir",488-489,,488-489.pdf,1,
2018,"KUBA, Ludvig",489,,,1,
2019,KUBIZAM,489-491,,489-491.pdf,1,
2020,KUBUS,491,,,1,
2021,"KUČAN, Ninoslav",491,,,1,
2022,"KUČERA-BUCHMEISTER, Lucie",491,,,1,
2023,"KUČINA, Vladimir",491-492,,491-492.pdf,1,
2024,"KUČINSKI, Sergej",492,,,1,
2025,KUČIŠTE,492,,,1,
2026,"KUDELJNJAK, Albina",492,,,1,
2027,"KUDUZ, Ante",492,,,1,
2028,"KUDUZ, Ivan",492,,,1,
2029,"KUJUNDŽIĆ, Hajrudin",492-493,,492-493.pdf,1,
2030,"KUKEC, Aleksandar",493,,,1,
2031,"KUKEC, Stjepan",493,,,1,
2032,"KUKULJEVIĆ SAKCINSKI, Ivan",493-494,,493-494.pdf,1,
2033,KULA,494,,,1,
2034,KULA ATLAGIĆA,494,,,1,
2035,"KULIŠ, Vatroslav",494,,,1,
2036,"KULMER, Ferdinand",494-495,,494-495.pdf,1,
2037,KULTURA ŽARNIH POLJA,495,,,1,
2038,"KULUNDŽIĆ, Zvonimir",495,,,1,
2039,"KUMAN, Ante",495,,,1,
2040,"KUMBATOVIĆ, Mila",495,,,1,
2041,KUMROVEC,495-496,,495-496.pdf,1,
2042,KUNA,496,,,1,
2043,"KUNIĆ, Juraj",496,,,1,
2044,"KUNIĆ (Kunitsch), Mihael",496,,,1,
2045,"KUPEŠIĆ, Rajka",496-497,,496-497.pdf,1,
2046,KURIJA,497,,,1,
2047,KURILOVEC,497,,,1,
2048,KURJAK,497,,,1,
2049,"KUSANIĆ, Andrija",497,,,1,
2050,"KUSIK, Branimir David",497,,,1,
2051,"KUS-NIKOLAJEV, Mirko",497,,,1,
2052,"KUŠA (Cussa), Mihael",497,,,1,
2053,"KUŠAN, Petar",497,,,1,
2054,"KUŠAN, Vladislav",497-498,,497-498.pdf,1,
2055,"KUŠANIĆ, Ivo",498,,,1,
2056,KUTI,498,,,1,
2057,KUTINA,498,499,498-499.pdf,1,
2058,KUTJEVO,498,,,1,
2059,"KUTSCHERA VON WOBORSKY, Oswald",498,,,1,
2060,"KUZMAN, Mijo",498,,,1,
2061,"KUZMIAK, Ivan",498,,,1,
2062,KUZMICA,498,,,1,
2063,KUZMINEC,498,,,1,
2064,KUZMINEC VETERNIČKI,498-499,,498-499.pdf,1,
2065,KVARTE,499,,,1,
2066,"LABAŠ, Jure",500,,,1,
2067,"LABAŠ, Rudolf",500,501,500-501.pdf,1,
2068,LABIN,500-501,,500-501.pdf,1,
2069,LABINCI,501,,,1,
2070,"LACKOVIĆ CROATA, Ivan",501-502,,501-502.pdf,1,
2071,LADA,502-503,,502-503.pdf,1,
2072,"LADIKA, Ferdo",503,,,1,
2073,"LADOVIĆ, Josip",503,,,1,
2074,LADUČ,503,,,1,
2075,"LAH, Milena",503,,,1,
2076,"LAHOVSKY, Stjepan",503-504,,503-504.pdf,1,
2077,"LALIĆ, Josip",504,,,1,
2078,"LALIN, Tomislav",504,,,1,
2079,"LALIN, Vjera",504,,,1,
2080,"LANDSINGER, Sigmund",504,,,1,
2081,"LANG, Milan",504,,,1,
2082,LANIŠĆE,504,,,1,
2083,"LANZA, Frano",504,,,1,
2084,"LANZA, Karlo",504,,,1,
2085,LAPAD,504,,,1,
2086,LAPIDARIJ,504,,,1,
2087,"LAPUH, Željko",504,505,504-505.pdf,1,
2088,LASINJA,504-505,,504-505.pdf,1,
2089,LASINJSKA KULTURA,505,,,1,
2090,"LASLO, Aleksander",505,,,1,
2091,"LASTOVAC, Frano Antica",505,,,1,
2092,LASTOVO,505-506,,505-506.pdf,1,
2093,"LASZOWSKI, Emilij",506,,,1,
2094,"LATKOVIĆ, Zlatko",506,,,1,
2095,"LATTUGA, Giovanni",506,,,1,
2096,LAURANA,506,,,1,
2097,"LAVALLÉE, Joseph",506,,,1,
2098,"LAY, Ivan",506-507,,506-507.pdf,1,
2099,"LAY, Srećko (Felix)",507,,,1,
2100,"LAZANIĆ, Nikola",507,,,1,
2101,"LAZANJA, Stjepan Martinov",507,,,1,
2102,"LAZZARINI, Pasquale",507,,,1,
2103,"LEARD, Giuseppe (Joseph)",507,,,1,
2104,"LEARD, John (Janko)",507,,,1,
2105,"LEARD, Rosa",507,,,1,
2106,"LECHNER, Zdenka",507,,,1,
2107,LEDENICE,507,,,1,
2108,"LEDERER, Gordan",507,,,1,
2109,"LEDIĆ, Gerhard",507-508,,507-508.pdf,1,
2110,LEGRAD,508,,,1,
2111,"LEHMANN, Giulio",508,,,1,
2112,"LEIPEN, Neda",508,,,1,
2113,"LEITNER (Leiitner), Egidio",508,,,1,
2114,LEKENIČKA POLJANA,508,,,1,
2115,"LENKOVIĆ, Ivan",508,,,1,
2116,"LENTIĆ, Ivo",508,,,1,
2117,"LENTIĆ-KUGLI, Ivy",508-509,,508-509.pdf,1,
2118,"LENUCI, Milan",509,,,1,
2119,"LEONHART, Matija",509,,,1,
2120,"LEONTIĆ, Jasenka",509,,,1,
2121,"LEOVIĆ, Josip",509,,,1,
2122,LEPAVINA,509,,,1,
2123,"LEPEN, Branko",509,,,1,
2124,LEPOGLAVA,510-511,,510-511.pdf,1,
2125,LEPURI,511,,,1,
2126,"LESIAK, Ivan",511-512,,511-512.pdf,1,
2127,LEŠCE NA DOBRI,512,,,1,
2128,LEŠĆE,512,,,1,
2129,"LE TERRIER DU MANETOTE, Gabriel",512,,,1,
2130,LETOVANIĆ,512,,,1,
2131,LIBURNI,512-513,,512-513.pdf,1,
2132,LIBURNSKI CIPPUS,513,,,1,
2133,LICITARI (medičari),513,,,1,
2134,LIČ,513,,,1,
2135,"LIČINA, Fedor",513-514,,513-514.pdf,1,
2136,LIČKI OSIK,514,,,1,
2137,LIČKO LEŠĆE,514,,,1,
2138,LIJEVA BARA,514,,,1,
2139,LIJEVI ŠTEFANKI,514,,,1,
2140,"LIKAN (HAUEISE), Gustav",514,,,1,
2141,"LIKIĆ, Jean",514,,,1,
2142,LIMES,514,,,1,
2143,LINDAR,514,,,1,
2144,LIPIK,514,,,1,
2145,LIPOVAC,514-515,,514-515.pdf,1,
2146,"LIPOVAC, Vasko",515,,,1,
2147,LIPOVEC,515,,,1,
2148,"LISIČAR, Petar",515,,,1,
2149,"LISIČAR, Vicko",515,,,1,
2150,LIŠANI,515,,,1,
